Period,Subdivision,Cropland_pct,Grassland_pct,Forest_pct,Wetland_pct,Cropland_area,Grassland_area,Forest_area,Wetland_area,Biodiversity_Score
Year-2017,Subdivision_1,51.65820633,23.65570793,14.70948539,,5165.820633,2365.570793,1470.948539,,0.457448832
Year-2018,Subdivision_1,52.21938503,21.8776494,13.9676155,,5221.938503,2187.76494,1396.76155,,0.456896006
Year-2019,Subdivision_1,55.06584806,21.58755031,13.26780519,,5506.584806,2158.755031,1326.780519,,0.439697616
Year-2020,Subdivision_1,53.73817165,22.05204349,13.77100332,,5373.817165,2205.204349,1377.100332,,0.447237886
Year-2000,Subdivision_2,,27.3269522,12.44065105,,,2732.69522,1244.065105,,0.450370876
Year-2001,Subdivision_2,,25.33491647,13.60089709,,,2533.491647,1360.089709,,0.45738277
Year-2002,Subdivision_2,,27.19019464,11.68088756,,,2719.019464,1168.088756,,0.445809757
Year-2003,Subdivision_2,,25.12345495,12.48197089,,,2512.345495,1248.197089,,0.469027898
Year-2004,Subdivision_2,,26.27510438,12.59856967,,,2627.510438,1259.856967,,0.457913479
Year-2005,Subdivision_2,,27.119793,10.59156664,,,2711.9793,1059.156664,,0.443666893
Year-2006,Subdivision_2,,26.4314394,13.0012599,,,2643.14394,1300.12599,,0.446318904
Year-2007,Subdivision_2,,24.76539369,9.432850573,,,2476.539369,943.2850573,,0.434062828
Year-2008,Subdivision_2,,25.38844156,8.805830652,,,2538.844156,880.5830652,,0.43206329
Year-2009,Subdivision_2,,26.45547445,9.451706874,,,2645.547445,945.1706874,,0.435849724
Year-2010,Subdivision_2,,25.84678421,7.047485926,,,2584.678421,704.7485926,,
Year-2011,Subdivision_2,,26.0557898,8.457970345,,,2605.57898,845.7970345,,0.439407793
Year-2012,Subdivision_2,,25.57726849,7.813592037,,,2557.726849,781.3592037,,0.434569139
Year-2013,Subdivision_2,,23.55526026,10.34052897,,,2355.526026,1034.052897,,0.449698184
Year-2014,Subdivision_2,,24.74717737,9.891196518,,,2474.717737,989.1196518,,0.45428391
Year-2015,Subdivision_2,,24.51532567,8.586297686,,,2451.532567,858.6297686,,0.436634899
Year-2016,Subdivision_2,,25.59639895,5.141478989,,,2559.639895,514.1478989,,0.419339199
Year-2017,Subdivision_2,,25.32937317,5.489929854,,,2532.937317,548.9929854,,0.418658551
Year-2018,Subdivision_2,,23.08392859,4.453089913,,,2308.392859,445.3089913,,0.408870238
Year-2019,Subdivision_2,,22.40418801,6.008637949,,,2240.418801,600.8637949,,0.418574919
Year-2020,Subdivision_2,,24.60141592,5.086495537,,,2460.141592,508.6495537,,0.423298826
Year-2000,Subdivision_3,51.07503518,24.41516315,14.50477789,,5107.503518,2441.516315,1450.477789,,0.459224241
Year-2001,Subdivision_3,52.31124968,23.06304988,16.23410707,,5231.124968,2306.304988,1623.410707,,0.456240509
Year-2002,Subdivision_3,50.63140822,24.70661988,14.1624449,,5063.140822,2470.661988,1416.24449,,0.460960756
Year-2003,Subdivision_3,50.91263446,23.67207902,13.2041249,,5091.263446,2367.207902,1320.41249,,0.46038416
Year-2004,Subdivision_3,51.07478186,23.31355862,14.45071586,,5107.478186,2331.355862,1445.071586,,0.461374907
Year-2005,Subdivision_3,52.37928022,25.1716104,12.78417394,,5237.928022,2517.16104,1278.417394,,0.448165272
Year-2006,Subdivision_3,51.98043665,25.11861753,13.39975455,,5198.043665,2511.861753,1339.975455,,0.4512799
Year-2007,Subdivision_3,53.05689866,24.14390768,13.97893746,,5305.689866,2414.390768,1397.893746,,0.44734973
Year-2008,Subdivision_3,50.75910779,25.43843286,13.8910715,,5075.910779,2543.843286,1389.10715,,0.458459559
Year-2009,Subdivision_3,52.60632264,24.21251877,13.61369968,,5260.632264,2421.251877,1361.369968,,0.449550726
Year-2010,Subdivision_3,51.74407761,23.79973644,12.84459669,,5174.407761,2379.973644,1284.459669,,
Year-2011,Subdivision_3,51.26711436,26.01885695,11.70301313,,5126.711436,2601.885695,1170.301313,,0.452062613
Year-2012,Subdivision_3,50.98859861,23.44067351,12.59164882,,5098.859861,2344.067351,1259.164882,,0.45977871
Year-2013,Subdivision_3,52.27140471,22.78975194,12.48649879,,5227.140471,2278.975194,1248.649879,,0.453278567
Year-2014,Subdivision_3,52.90521864,23.4058216,11.36793838,,5290.521864,2340.58216,1136.793838,,0.447124983
Year-2015,Subdivision_3,52.98417225,23.37469577,11.3586051,,5298.417225,2337.469577,1135.86051,,0.44670418
Year-2016,Subdivision_3,53.12323482,23.67466443,11.63118572,,5312.323482,2367.466443,1163.118572,,0.445542448
Year-2017,Subdivision_3,53.48602545,23.70815958,11.67875041,,5348.602545,2370.815958,1167.875041,,0.443346279
Year-2018,Subdivision_3,51.94407876,25.03199459,12.37477373,,5194.407876,2503.199459,1237.477373,,0.450646312
Year-2019,Subdivision_3,53.47781776,23.14005865,11.73684901,,5347.781776,2314.005865,1173.684901,,0.444589825
Year-2020,Subdivision_3,52.0009093,22.24477349,11.69333192,,5200.09093,2224.477349,1169.333192,,0.455198329
Year-2000,Subdivision_4,48.05594805,28.86764119,16.00774004,,4805.594805,2886.764119,1600.774004,,0.469936769
Year-2001,Subdivision_4,48.85249187,28.76778536,15.31103677,,4885.249187,2876.778536,1531.103677,,0.464660515
Year-2002,Subdivision_4,47.25158846,28.34551005,15.80271597,,4725.158846,2834.551005,1580.271597,,0.475602165
Year-2003,Subdivision_4,49.52431113,27.37914602,15.11251578,,4952.431113,2737.914602,1511.251578,,0.463208357
Year-2004,Subdivision_4,50.93054735,28.06874243,13.64967212,,5093.054735,2806.874243,1364.967212,,0.451928903
Year-2005,Subdivision_4,48.60688111,29.34062175,13.92981406,,4860.688111,2934.062175,1392.981406,,0.463607284
Year-2006,Subdivision_4,48.50725094,30.10911278,14.55196893,,4850.725094,3010.911278,1455.196893,,0.463290238
Year-2007,Subdivision_4,48.68889116,29.60993383,12.49253876,,4868.889116,2960.993383,1249.253876,,0.461139324
Year-2008,Subdivision_4,50.7093351,28.67735374,11.83193828,,5070.93351,2867.735374,1183.193828,,0.45022122
Year-2009,Subdivision_4,50.21432133,30.74066534,11.84330369,,5021.432133,3074.066534,1184.330369,,0.449076045
Year-2010,Subdivision_4,49.72148041,29.20655317,12.51654046,,4972.148041,2920.655317,1251.654046,,
Year-2011,Subdivision_4,49.09629574,29.23407308,12.88020093,,4909.629574,2923.407308,1288.020093,,0.45983428
Year-2012,Subdivision_4,50.88587645,28.34555079,11.06473433,,5088.587645,2834.555079,1106.473433,,0.449058374
Year-2013,Subdivision_4,49.76650106,28.2452847,13.48498953,,4976.650106,2824.52847,1348.498953,,0.458395414
Year-2014,Subdivision_4,49.02810267,28.10138305,13.26069373,,4902.810267,2810.138305,1326.069373,,0.462889312
Year-2015,Subdivision_4,49.01682721,29.67095485,12.01002792,,4901.682721,2967.095485,1201.002792,,0.458567155
Year-2016,Subdivision_4,50.36574466,30.60916769,12.60650199,,5036.574466,3060.916769,1260.650199,,0.449193699
Year-2017,Subdivision_4,51.29062194,28.54903372,11.25183847,,5129.062194,2854.903372,1125.183847,,0.446410039
Year-2018,Subdivision_4,51.74937599,29.37453265,12.3201096,,5174.937599,2937.453265,1232.01096,,0.443074788
Year-2019,Subdivision_4,50.29529909,30.19519189,11.21304969,,5029.529909,3019.519189,1121.304969,,0.449050871
Year-2020,Subdivision_4,50.63424615,30.55205751,9.421842989,,5063.424615,3055.205751,942.1842989,,0.444512251
Year-2000,Subdivision_5,52.33324863,23.07221972,13.89930007,,5233.324863,2307.221972,1389.930007,,0.453755369
Year-2001,Subdivision_5,49.92927662,24.68761271,12.49748914,,4992.927662,2468.761271,1249.748914,,0.463546604
Year-2002,Subdivision_5,50.62669707,23.73594446,13.31724049,,5062.669707,2373.594446,1331.724049,,0.462085169
Year-2003,Subdivision_5,49.41269618,22.54988301,14.73671673,,4941.269618,2254.988301,1473.671673,,0.473160774
Year-2004,Subdivision_5,50.42518434,23.78223942,12.70926704,,5042.518434,2378.223942,1270.926704,,0.462593682
Year-2005,Subdivision_5,52.13970218,23.47708125,12.13521076,,5213.970218,2347.708125,1213.521076,,0.452342835
Year-2006,Subdivision_5,53.87385084,20.31964594,11.44936683,,5387.385084,2031.964594,1144.936683,,0.44756697
Year-2007,Subdivision_5,53.76038372,20.91483368,12.88333114,,5376.038372,2091.483368,1288.333114,,0.448491361
Year-2008,Subdivision_5,54.92666581,21.98343709,11.78104842,,5492.666581,2198.343709,1178.104842,,0.438254179
Year-2009,Subdivision_5,53.45828146,22.73648326,11.50074704,,5345.828146,2273.648326,1150.074704,,0.445278092
Year-2010,Subdivision_5,51.40719723,20.75863391,12.92433947,,5140.719723,2075.863391,1292.433947,,
Year-2011,Subdivision_5,51.52068107,23.63934787,10.84126693,,5152.068107,2363.934787,1084.126693,,0.454438485
Year-2012,Subdivision_5,52.62147832,22.81825194,9.364873125,,5262.147832,2281.825194,936.4873125,,0.447999499
Year-2013,Subdivision_5,50.60608374,20.8876179,11.01950997,,5060.608374,2088.76179,1101.950997,,0.465607772
Year-2014,Subdivision_5,51.99980539,22.90510865,9.604680176,,5199.980539,2290.510865,960.4680176,,0.451795631
Year-2015,Subdivision_5,,20.90567221,10.27393774,,5392.090483,2090.567221,1027.393774,,0.444937164
Year-2016,Subdivision_5,55.08331606,20.80371972,9.787830279,,5508.331606,2080.371972,978.7830279,,0.437680495
Year-2017,Subdivision_5,54.55739602,21.03388597,10.34038184,,5455.739602,2103.388597,1034.038184,,0.440928234
Year-2018,Subdivision_5,55.3990481,20.8784353,7.844627125,,5539.90481,2087.84353,784.4627125,,0.433693468
Year-2019,Subdivision_5,55.59335053,21.37511056,8.601457683,,5559.335053,2137.511056,860.1457683,,0.432291133
Year-2020,Subdivision_5,53.6803436,21.10101125,9.148816908,,5368.03436,2110.101125,914.8816908,,0.444864733
Year-2000,Subdivision_6,52.95156387,21.97890933,13.75833189,,5295.156387,2197.890933,1375.833189,,0.45209113
Year-2001,Subdivision_6,51.20689841,23.18117305,12.96066746,,5120.689841,2318.117305,1296.066746,,0.459356931
Year-2002,Subdivision_6,51.8656343,21.78192593,14.32567,,5186.56343,2178.192593,1432.567,,0.459568012
Year-2003,Subdivision_6,52.31829461,24.18531217,10.71453057,,5231.829461,2418.531217,1071.453057,,0.448434139
Year-2004,Subdivision_6,51.96037639,22.48850137,12.67200139,,5196.037639,2248.850137,1267.200139,,0.45593274
Year-2005,Subdivision_6,51.27336568,22.77501839,12.34324767,,5127.336568,2277.501839,1234.324767,,0.459153017
Year-2006,Subdivision_6,53.35414905,23.63692943,9.785409181,,5335.414905,2363.692943,978.5409181,,0.442386656
Year-2007,Subdivision_6,51.90368769,23.13674729,9.413170531,,5190.368769,2313.674729,941.3170531,,0.45171755
Year-2008,Subdivision_6,53.17664295,23.50527375,10.05147828,,5317.664295,2350.527375,1005.147828,,0.443981073
Year-2009,Subdivision_6,53.84830435,24.15675112,7.22985143,,5384.830435,2415.675112,722.985143,,0.435826523
Year-2010,Subdivision_6,51.86919621,24.63285191,9.245752524,,5186.919621,2463.285191,924.5752524,,
Year-2011,Subdivision_6,53.76255515,20.62322787,9.574164051,,5376.255515,2062.322787,957.4164051,,0.445752377
Year-2012,Subdivision_6,51.4038991,23.77975637,9.645215704,,5140.38991,2377.975637,964.5215704,,0.453662308
Year-2013,Subdivision_6,51.75770404,24.02377477,8.727169836,,5175.770404,2402.377477,872.7169836,,0.450133396
Year-2014,Subdivision_6,53.50366616,22.28946484,8.979947012,,5350.366616,2228.946484,897.9947012,,0.44337902
Year-2015,Subdivision_6,53.60702986,22.79409087,7.338567708,,5360.702986,2279.409087,733.8567708,,0.440108207
Year-2016,Subdivision_6,55.87501084,23.5961216,5.413306271,,5587.501084,2359.61216,541.3306271,,0.422970998
Year-2017,Subdivision_6,54.38782847,24.81789222,5.562803043,,5438.782847,2481.789222,556.2803043,,0.429600048
Year-2018,Subdivision_6,53.2374607,24.62085141,4.482468022,,5323.74607,2462.085141,448.2468022,,0.435816001
Year-2019,Subdivision_6,55.42603878,23.23490873,2.4268304,,5542.603878,2323.490873,242.68304,,0.42340078
Year-2020,Subdivision_6,55.52403105,23.46564403,4.957617433,,5552.403105,2346.564403,495.7617433,,0.424882143
Year-2000,Subdivision_7,53.68044622,28.3905712,9.964841222,,5368.044622,2839.05712,996.4841222,,0.431101021
Year-2001,Subdivision_7,53.14753372,29.23144169,8.935678562,,5314.753372,2923.144169,893.5678562,,0.431587593
Year-2002,Subdivision_7,52.40527616,29.07885893,10.57921509,,5240.527616,2907.885893,1057.921509,,0.43798984
Year-2003,Subdivision_7,51.82512124,28.73770454,9.253632085,,5182.512124,2873.770454,925.3632085,,0.440827496
Year-2004,Subdivision_7,51.70020777,30.56518731,8.975210914,,5170.020777,3056.518731,897.5210914,,0.43764359
Year-2005,Subdivision_7,53.23936004,27.47634978,10.03179357,,5323.936004,2747.634978,1003.179357,,0.435642934
Year-2006,Subdivision_7,52.94287678,27.58954235,8.676491119,,5294.287678,2758.954235,867.6491119,,0.435840146
Year-2007,Subdivision_7,54.87999265,27.55279719,8.722968384,,5487.999265,2755.279719,872.2968384,,0.424337418
Year-2008,Subdivision_7,52.2650548,29.02332656,8.485920546,,5226.50548,2902.332656,848.5920546,,0.436848939
Year-2009,Subdivision_7,54.79516267,28.94381007,7.770595647,,5479.516267,2894.381007,777.0595647,,0.421111999
Year-2010,Subdivision_7,54.75171458,27.43848405,7.610269333,,5475.171458,2743.848405,761.0269333,,
Year-2011,Subdivision_7,54.18047603,28.1533534,6.932706365,,5418.047603,2815.33534,693.2706365,,0.425543143
Year-2012,Subdivision_7,53.91142564,27.66844797,6.500135664,,5391.142564,2766.844797,650.0135664,,0.427694686
Year-2013,Subdivision_7,53.2753312,29.35259278,4.294009743,,5327.53312,2935.259278,429.4009743,,0.425936837
Year-2014,Subdivision_7,55.66298527,25.99283382,6.503811076,,5566.298527,2599.283382,650.3811076,,0.420540232
Year-2015,Subdivision_7,53.24923879,27.19112882,5.582084933,,5324.923879,2719.112882,558.2084933,,0.431704395
Year-2016,Subdivision_7,54.10853718,28.23679352,7.122155218,,5410.853718,2823.679352,712.2155218,,0.425997345
Year-2017,Subdivision_7,54.1188982,28.00118738,5.074563315,,5411.88982,2800.118738,507.4563315,,0.424358799
Year-2018,Subdivision_7,53.85582218,26.66446603,6.803348598,,5385.582218,2666.446603,680.3348598,,0.430339483
Year-2019,Subdivision_7,53.74765634,28.20727931,4.65901153,,5374.765634,2820.727931,465.901153,,0.425758515
Year-2020,Subdivision_7,55.0665418,26.86526755,5.840801893,,5506.65418,2686.526755,584.0801893,,0.421711016
Year-2000,Subdivision_8,51.18413486,23.55851775,13.03846561,,5118.413486,2355.851775,1303.846561,,0.458816621
Year-2001,Subdivision_8,51.01792429,22.72073346,12.93511026,,5101.792429,2272.073346,1293.511026,,0.461386098
Year-2002,Subdivision_8,48.48429614,24.73677925,12.10742992,,4848.429614,2473.677925,1210.742992,,0.471728095
Year-2003,Subdivision_8,50.14774098,22.88695642,13.26196897,,5014.774098,2288.695642,1326.196897,,0.46660161
Year-2004,Subdivision_8,49.90456418,24.01059195,12.91926096,,4990.456418,2401.059195,1291.926096,,0.465470692
Year-2005,Subdivision_8,52.24397477,24.09820511,12.38277487,,5224.397477,2409.820511,1238.277487,,0.450722516
Year-2006,Subdivision_8,51.6688201,25.14926071,10.89208116,,5166.88201,2514.926071,1089.208116,,0.450580639
Year-2007,Subdivision_8,54.07527486,25.12860066,9.243596372,,5407.527486,2512.860066,924.3596372,,0.434534746
Year-2008,Subdivision_8,55.07841835,23.92322494,9.98600139,,5507.841835,2392.322494,998.600139,,0.431669041
Year-2009,Subdivision_8,52.75648477,23.81110022,9.489455937,,5275.648477,2381.110022,948.9455937,,0.445328347
Year-2010,Subdivision_8,54.29741948,24.5018384,8.147546541,,5429.741948,2450.18384,814.7546541,,
Year-2011,Subdivision_8,51.40221909,22.98390014,11.01123248,,5140.221909,2298.390014,1101.123248,,0.456630118
Year-2012,Subdivision_8,52.70148186,22.22867954,10.21085725,,5270.148186,2222.867954,1021.085725,,0.449544607
Year-2013,Subdivision_8,51.55005602,21.49435368,9.452314014,,5155.005602,2149.435368,945.2314014,,0.457163271
Year-2014,Subdivision_8,49.95596813,24.58585084,9.598425541,,4995.596813,2458.585084,959.8425541,,0.460690915
Year-2015,Subdivision_8,52.55738306,23.88250528,7.600933826,,5255.738306,2388.250528,760.0933826,,0.444491625
Year-2016,Subdivision_8,55.1892289,22.73405314,7.805370517,,5518.92289,2273.405314,780.5370517,,0.431201891
Year-2017,Subdivision_8,53.3261415,24.87794296,5.089449139,,5332.61415,2487.794296,508.9449139,,0.435376714
Year-2018,Subdivision_8,54.86728694,22.72199792,6.069610322,,5486.728694,2272.199792,606.9610322,,0.431421893
Year-2019,Subdivision_8,56.38110655,22.13867489,5.109206192,,5638.110655,2213.867489,510.9206192,,0.422545217
Year-2020,Subdivision_8,54.05388016,23.46594979,6.539467858,,5405.388016,2346.594979,653.9467858,,0.435284287
Year-2000,Subdivision_9,46.76766801,26.88659252,13.42293692,,4676.766801,2688.659252,1342.293692,,0.479043744
Year-2001,Subdivision_9,48.28464928,27.58004165,12.72551474,,4828.464928,2758.004165,1272.551474,,0.467857536
Year-2002,Subdivision_9,47.77411829,27.31999961,12.63171646,,4777.411829,2731.999961,1263.171646,,0.471347007
Year-2003,Subdivision_9,46.18441296,27.77244518,11.92597131,,4618.441296,2777.244518,1192.597131,,0.479274603
Year-2004,Subdivision_9,47.81137921,26.7031871,12.62304434,,4781.137921,2670.31871,1262.304434,,0.472348395
Year-2005,Subdivision_9,49.42710076,26.40649277,11.29955925,,4942.710076,2640.649277,1129.955925,,0.461923969
Year-2006,Subdivision_9,49.8250251,25.82246827,12.63877438,,4982.50251,2582.246827,1263.877438,,0.462043687
Year-2007,Subdivision_9,49.59882905,25.42412526,12.47709298,,4959.882905,2542.412526,1247.709298,,0.464035868
Year-2008,Subdivision_9,51.25236593,24.35371501,10.97435131,,5125.236593,2435.371501,1097.435131,,0.454752726
Year-2009,Subdivision_9,49.47004478,26.60219869,9.666201488,,4947.004478,2660.219869,966.6201488,,0.459641535
Year-2010,Subdivision_9,50.78635996,25.09094885,9.280671801,,5078.635996,2509.094885,928.0671801,,
Year-2011,Subdivision_9,50.9503406,25.66312385,9.173994832,,5095.03406,2566.312385,917.3994832,,0.452145704
Year-2012,Subdivision_9,50.12977882,26.39251125,8.65571853,,5012.977882,2639.251125,865.571853,,0.455092023
Year-2013,Subdivision_9,49.35835615,26.21408405,10.31131228,,4935.835615,2621.408405,1031.131228,,0.461733007
Year-2014,Subdivision_9,50.59546107,25.46727822,8.500866616,,5059.546107,2546.727822,850.0866616,,0.453993544
Year-2015,Subdivision_9,50.15816849,26.14435888,8.527813114,,5015.816849,2614.435888,852.7813114,,0.455290084
Year-2016,Subdivision_9,51.61753787,27.51514674,7.283524665,,5161.753787,2751.514674,728.3524665,,0.442548004
Year-2017,Subdivision_9,52.54996761,24.86670406,7.09164657,,5254.996761,2486.670406,709.164657,,0.442058433
Year-2018,Subdivision_9,54.29031081,24.48198752,6.471694503,,5429.031081,2448.198752,647.1694503,,0.431765855
Year-2019,Subdivision_9,52.9914962,26.19038216,7.329650493,,5299.14962,2619.038216,732.9650493,,0.436999909
Year-2020,Subdivision_9,52.71590133,26.4846719,6.00878242,,5271.590133,2648.46719,600.878242,,0.436744031
Year-2000,Subdivision_10,50.14586534,24.47011632,15.29016657,,5014.586534,2447.011632,1529.016657,,0.465474742
Year-2001,Subdivision_10,52.22752265,24.48840377,14.11513402,,5222.752265,2448.840377,1411.513402,,0.451773191
Year-2002,Subdivision_10,49.63202966,25.61771981,14.20050795,,4963.202966,2561.771981,1420.050795,,0.46517289
Year-2003,Subdivision_10,48.95052914,24.46964254,16.60928079,,4895.052914,2446.964254,1660.928079,,0.473966821
Year-2004,Subdivision_10,49.1224448,24.34382161,14.46120182,,4912.24448,2434.382161,1446.120182,,0.47103889
Year-2005,Subdivision_10,51.69571727,23.30376393,14.02950326,,5169.571727,2330.376393,1402.950326,,0.457247672
Year-2006,Subdivision_10,52.073642,23.85480089,13.75479065,,5207.3642,2385.480089,1375.479065,,0.453603337
Year-2007,Subdivision_10,54.19234276,24.3736984,12.23891291,,5419.234276,2437.36984,1223.891291,,0.43833746
Year-2008,Subdivision_10,55.06671411,23.07256169,12.72958463,,5506.671411,2307.256169,1272.958463,,0.436184177
Year-2009,Subdivision_10,52.68001937,24.65231279,12.28200922,,5268.001937,2465.231279,1228.200922,,0.446897267
Year-2010,Subdivision_10,50.16998538,23.55070164,12.66491429,,5016.998538,2355.070164,1266.491429,,
Year-2011,Subdivision_10,50.71443936,22.76912757,12.33558733,,5071.443936,2276.912757,1233.558733,,0.462510696
Year-2012,Subdivision_10,50.89281822,22.71957508,12.67516765,,5089.281822,2271.957508,1267.516765,,0.461879108
Year-2013,Subdivision_10,51.24547136,22.74473724,13.00595074,,5124.547136,2274.473724,1300.595074,,0.460043648
Year-2014,Subdivision_10,52.81337194,21.97938217,12.77735273,,5281.337194,2197.938217,1277.735273,,0.451938357
Year-2015,Subdivision_10,51.96690814,22.59485654,12.31761882,,5196.690814,2259.485654,1231.761882,,0.455326457
Year-2016,Subdivision_10,55.03340729,25.1109975,8.996390349,,5503.340729,2511.09975,899.6390349,,0.428573952
Year-2017,Subdivision_10,55.69420964,22.07694439,8.732419376,,5569.420964,2207.694439,873.2419376,,0.430413273
Year-2018,Subdivision_10,55.80607787,21.92712526,8.203344553,,5580.607787,2192.712526,820.3344553,,0.429512627
Year-2019,Subdivision_10,54.53933749,21.66689839,11.19020758,,5453.933749,2166.689839,1119.020758,,0.440620386
Year-2020,Subdivision_10,53.31677652,21.46260149,9.676099113,,5331.677652,2146.260149,967.6099113,,0.446850237
